Date and time (PDT),Metres
2022-01-01T01:53:00,4.1
2022-01-01T06:53:00,2.4
2022-01-01T12:51:00,5.2
2022-01-01T20:05:00,0.2
2022-01-02T02:42:00,4.3
2022-01-02T07:48:00,2.4
2022-01-02T13:42:00,5.3
2022-01-02T20:54:00,0
2022-01-03T03:28:00,4.5
2022-01-03T08:41:00,2.3
2022-01-03T14:33:00,5.3
2022-01-03T21:41:00,0
2022-01-04T04:14:00,4.5
2022-01-04T09:33:00,2.2
2022-01-04T15:24:00,5.1
2022-01-04T22:26:00,0.1
2022-01-05T04:59:00,4.5
2022-01-05T10:25:00,2.2
2022-01-05T16:15:00,4.9
2022-01-05T23:09:00,0.4
2022-01-06T05:45:00,4.5
2022-01-06T11:19:00,2.2
2022-01-06T17:04:00,4.6
2022-01-06T23:51:00,0.7
2022-01-07T06:31:00,4.5
2022-01-07T12:17:00,2.2
2022-01-07T17:55:00,4.2
2022-01-08T00:32:00,1.2
2022-01-08T07:17:00,4.4
2022-01-08T13:20:00,2.2
2022-01-08T18:50:00,3.8
2022-01-09T01:13:00,1.6
2022-01-09T08:05:00,4.3
2022-01-09T14:29:00,2.2
2022-01-09T19:59:00,3.4
2022-01-10T01:57:00,2.1
2022-01-10T08:54:00,4.3
2022-01-10T15:39:00,2
2022-01-10T21:38:00,3.2
2022-01-11T02:50:00,2.5
2022-01-11T09:44:00,4.3
2022-01-11T16:44:00,1.8
2022-01-11T23:19:00,3.3
2022-01-12T03:57:00,2.7
2022-01-12T10:33:00,4.3
2022-01-12T17:43:00,1.6
2022-01-13T00:31:00,3.4
2022-01-13T05:06:00,2.9
2022-01-13T11:17:00,4.3
2022-01-13T18:34:00,1.4
2022-01-14T01:21:00,3.6
2022-01-14T06:03:00,2.9
2022-01-14T11:57:00,4.4
2022-01-14T19:18:00,1.2
2022-01-15T02:01:00,3.8
2022-01-15T06:50:00,2.9
2022-01-15T12:35:00,4.4
2022-01-15T19:58:00,1
2022-01-16T02:36:00,3.9
2022-01-16T07:30:00,2.8
2022-01-16T13:11:00,4.5
2022-01-16T20:34:00,0.8
2022-01-17T03:08:00,4
2022-01-17T08:08:00,2.7
2022-01-17T13:49:00,4.6
2022-01-17T21:08:00,0.7
2022-01-18T03:41:00,4.1
2022-01-18T08:47:00,2.5
2022-01-18T14:27:00,4.6
2022-01-18T21:41:00,0.7
2022-01-19T04:13:00,4.2
2022-01-19T09:26:00,2.5
2022-01-19T15:07:00,4.6
2022-01-19T22:13:00,0.7
2022-01-20T04:47:00,4.2
2022-01-20T10:08:00,2.4
2022-01-20T15:49:00,4.5
2022-01-20T22:46:00,0.8
2022-01-21T05:22:00,4.2
2022-01-21T10:53:00,2.3
2022-01-21T16:32:00,4.3
2022-01-21T23:18:00,1
2022-01-22T05:57:00,4.3
2022-01-22T11:43:00,2.3
2022-01-22T17:18:00,4.1
2022-01-22T23:51:00,1.3
2022-01-23T06:34:00,4.3
2022-01-23T12:37:00,2.2
2022-01-23T18:09:00,3.9
2022-01-24T00:25:00,1.6
2022-01-24T07:12:00,4.3
2022-01-24T13:38:00,2.1
2022-01-24T19:11:00,3.6
2022-01-25T01:04:00,1.9
2022-01-25T07:53:00,4.4
2022-01-25T14:45:00,1.9
2022-01-25T20:37:00,3.4
2022-01-26T01:53:00,2.3
2022-01-26T08:41:00,4.4
2022-01-26T15:54:00,1.6
2022-01-26T22:21:00,3.3
2022-01-27T03:04:00,2.6
2022-01-27T09:37:00,4.5
2022-01-27T17:03:00,1.3
2022-01-27T23:50:00,3.5
