Date,predictions(m)
2022-06-25 14:00 PDT,3.46
2022-06-25 14:15 PDT,3.41
2022-06-25 14:30 PDT,3.34
2022-06-25 14:45 PDT,3.27
2022-06-25 15:00 PDT,3.19
2022-06-25 15:15 PDT,3.11
2022-06-25 15:30 PDT,3.04
2022-06-25 15:45 PDT,2.97
2022-06-25 16:00 PDT,2.9
2022-06-25 16:15 PDT,2.84
2022-06-25 16:30 PDT,2.78
2022-06-25 16:45 PDT,2.72
2022-06-25 17:00 PDT,2.67
2022-06-25 17:15 PDT,2.63
2022-06-25 17:30 PDT,2.59
2022-06-25 17:45 PDT,2.56
2022-06-25 18:00 PDT,2.55
2022-06-25 18:15 PDT,2.54
2022-06-25 18:30 PDT,2.55
2022-06-25 18:45 PDT,2.57
2022-06-25 19:00 PDT,2.61
2022-06-25 19:15 PDT,2.67
2022-06-25 19:30 PDT,2.74
2022-06-25 19:45 PDT,2.83
2022-06-25 20:00 PDT,2.93
2022-06-25 20:15 PDT,3.04
2022-06-25 20:30 PDT,3.16
2022-06-25 20:45 PDT,3.28
2022-06-25 21:00 PDT,3.4
2022-06-25 21:15 PDT,3.52
2022-06-25 21:30 PDT,3.63
2022-06-25 21:45 PDT,3.74
2022-06-25 22:00 PDT,3.85
2022-06-25 22:15 PDT,3.94
2022-06-25 22:30 PDT,4.03
2022-06-25 22:45 PDT,4.11
2022-06-25 23:00 PDT,4.18
2022-06-25 23:15 PDT,4.24
2022-06-25 23:30 PDT,4.29
2022-06-25 23:45 PDT,4.33
2022-06-26 00:00 PDT,4.36
2022-06-26 00:15 PDT,4.37
2022-06-26 00:30 PDT,4.37
2022-06-26 00:45 PDT,4.35
2022-06-26 01:00 PDT,4.31
2022-06-26 01:15 PDT,4.25
2022-06-26 01:30 PDT,4.17
2022-06-26 01:45 PDT,4.07
2022-06-26 02:00 PDT,3.95
2022-06-26 02:15 PDT,3.81
2022-06-26 02:30 PDT,3.66
2022-06-26 02:45 PDT,3.5
2022-06-26 03:00 PDT,3.32
2022-06-26 03:15 PDT,3.15
2022-06-26 03:30 PDT,2.96
2022-06-26 03:45 PDT,2.78
2022-06-26 04:00 PDT,2.6
2022-06-26 04:15 PDT,2.42
2022-06-26 04:30 PDT,2.24
2022-06-26 04:45 PDT,2.07
2022-06-26 05:00 PDT,1.91
2022-06-26 05:15 PDT,1.75
2022-06-26 05:30 PDT,1.6
2022-06-26 05:45 PDT,1.46
2022-06-26 06:00 PDT,1.33
2022-06-26 06:15 PDT,1.22
2022-06-26 06:30 PDT,1.13
2022-06-26 06:45 PDT,1.06
2022-06-26 07:00 PDT,1.02
2022-06-26 07:15 PDT,1
2022-06-26 07:30 PDT,1
2022-06-26 07:45 PDT,1.03
2022-06-26 08:00 PDT,1.08
2022-06-26 08:15 PDT,1.16
2022-06-26 08:30 PDT,1.25
2022-06-26 08:45 PDT,1.36
2022-06-26 09:00 PDT,1.48
2022-06-26 09:15 PDT,1.61
2022-06-26 09:30 PDT,1.75
2022-06-26 09:45 PDT,1.88
2022-06-26 10:00 PDT,2.02
2022-06-26 10:15 PDT,2.16
2022-06-26 10:30 PDT,2.3
2022-06-26 10:45 PDT,2.43
2022-06-26 11:00 PDT,2.57
2022-06-26 11:15 PDT,2.71
2022-06-26 11:30 PDT,2.84
2022-06-26 11:45 PDT,2.97
2022-06-26 12:00 PDT,3.1
2022-06-26 12:15 PDT,3.23
2022-06-26 12:30 PDT,3.34
2022-06-26 12:45 PDT,3.44
2022-06-26 13:00 PDT,3.53
2022-06-26 13:15 PDT,3.6
2022-06-26 13:30 PDT,3.65
2022-06-26 13:45 PDT,3.68
2022-06-26 14:00 PDT,3.69
2022-06-26 14:15 PDT,3.67
2022-06-26 14:30 PDT,3.64
2022-06-26 14:45 PDT,3.59
2022-06-26 15:00 PDT,3.53
2022-06-26 15:15 PDT,3.45
2022-06-26 15:30 PDT,3.37
2022-06-26 15:45 PDT,3.29
2022-06-26 16:00 PDT,3.21
2022-06-26 16:15 PDT,3.13
2022-06-26 16:30 PDT,3.05
2022-06-26 16:45 PDT,2.98
2022-06-26 17:00 PDT,2.91
2022-06-26 17:15 PDT,2.85
2022-06-26 17:30 PDT,2.79
2022-06-26 17:45 PDT,2.74
2022-06-26 18:00 PDT,2.69
