video_name,launch,date,time,camera,vis_quality,coho,chinook,chum,pink,sockeye,unk_salmonid,stickleback_sp,sculpin_sp,flatfish_sp,perch_sp,gunnel_sp,salmonid_sp,notes
NA,gp017,5/15/2022,8:10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp017,5/15/2022,8:20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp017,5/15/2022,8:30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp017,5/15/2022,8:40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp017,5/15/2022,8:50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp017,5/15/2022,9:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp017,5/15/2022,9:10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp017,5/15/2022,9:20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp017,5/15/2022,9:30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp017,5/15/2022,9:40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp017,5/15/2022,9:50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp017,5/15/2022,10:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp017,5/15/2022,10:10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp017,5/15/2022,10:20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8805,gp017,5/15/2022,10:30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,not yet deployed
GOPR8806,gp017,5/15/2022,10:40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8807,gp017,5/15/2022,10:50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8808,gp017,5/15/2022,11:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8809,gp017,5/15/2022,11:10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8810,gp017,5/15/2022,11:20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8811,gp017,5/15/2022,11:30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8812,gp017,5/15/2022,11:40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8813,gp017,5/15/2022,11:50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8814,gp017,5/15/2022,12:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8815,gp017,5/15/2022,12:10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,First submerged
GOPR8816,gp017,5/15/2022,12:20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8817,gp017,5/15/2022,12:30,1,2,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8818,gp017,5/15/2022,12:40,1,2,4,0,0,0,0,13,0,0,0,0,0,17,
GOPR8819,gp017,5/15/2022,12:50,1,2,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8820,gp017,5/15/2022,13:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8821,gp017,5/15/2022,13:10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8822,gp017,5/15/2022,13:20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8823,gp017,5/15/2022,13:30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8824,gp017,5/15/2022,13:40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8825,gp017,5/15/2022,13:50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8826,gp017,5/15/2022,14:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8827,gp017,5/15/2022,14:10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8828,gp017,5/15/2022,14:20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
GOPR8829,gp017,5/15/2022,14:30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp018,5/15/2022,8:10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp018,5/15/2022,8:20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp018,5/15/2022,8:30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp018,5/15/2022,8:40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp018,5/15/2022,8:50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp018,5/15/2022,9:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp018,5/15/2022,9:10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp018,5/15/2022,9:20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp018,5/15/2022,9:30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp018,5/15/2022,9:40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
NA,gp018,5/15/2022,9:50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
